"k","n","Weighted","Transformed"
"w(x)=x ",NA,NA,NA
"2","50","0.0174473228683189","0.114231944545822"
"2","200","0.0157391955724387","0.104086587728951"
"12","50","0.00221775564950991","0.00552123485979751"
"12","200","0.000903615205099308","0.00303163193573851"
"w(x)=1/x",NA,NA,NA
"3","50","0.0548903633864115","0.00885527657992179"
"3","200","0.0617844065380568","0.00416323473169165"
"16","50","0.151638373015616","0.00208904408799591"
"16","200","0.0370246714175164","0.000724614473842335"
